date,campaign,channel,ad_spend
2026-06-22,HairPlux-June-UGC,Facebook,420.00
2026-06-22,Luna5G-Retarget,Facebook,180.00
2026-06-23,HairPlux-June-UGC,Facebook,435.00
2026-06-23,Luna5G-Retarget,Facebook,175.50
2026-06-24,HairPlux-June-UGC,Facebook,460.00
2026-06-24,Luna5G-Retarget,Facebook,190.00
2026-06-25,HairPlux-June-UGC,Facebook,398.00
2026-06-25,Luna5G-Retarget,Facebook,165.00
2026-06-26,HairPlux-June-UGC,Facebook,452.00
2026-06-26,Luna5G-Retarget,Facebook,201.00
2026-06-27,HairPlux-PayDay-Blast,Facebook,780.00
2026-06-27,Luna5G-Retarget,Facebook,210.00
2026-06-28,HairPlux-PayDay-Blast,Facebook,742.00
2026-06-28,Luna5G-Retarget,Facebook,195.00
